Sample.ID_mdata,pcr2$Sample.ID,match
Yale-8747,Yale-8747,1
Yale-8748,Yale-8748,1
Yale-8749,Yale-8749,1
Yale-8750,Yale-8750,1
Yale-9030,Yale-9030,1
Yale-9031,Yale-9031,1
Yale-9032,Yale-9032,1
Yale-9033,Yale-9033,1
Yale-9034,Yale-9034,1
Yale-9035,Yale-9035,1
Yale-9036,Yale-9036,1
Yale-9037,Yale-9037,1
Yale-9038,Yale-9038,1
Yale-9039,Yale-9039,1
Yale-9040,Yale-9040,1
Yale-9041,Yale-9041,1
Yale-9042,Yale-9042,1
Yale-9043,Yale-9043,1
Yale-9044,Yale-9044,1
Yale-9045,Yale-9045,1
Yale-9046,Yale-9046,1
Yale-9047,Yale-9047,1
Yale-9048,Yale-9048,1
Yale-9049,Yale-9049,1
Yale-9050,Yale-9050,1
Yale-9051,Yale-9051,1
Yale-9052,Yale-9052,1
Yale-9053,Yale-9053,1
Yale-9054,Yale-9054,1
Yale-9055,Yale-9055,1
Yale-9056,Yale-9056,1
Yale-9057,Yale-9057,1
Yale-9058,Yale-9058,1
Yale-9059,Yale-9059,1
Yale-9060,Yale-9060,1
Yale-9061,Yale-9061,1
Yale-9062,Yale-9062,1
Yale-9063,Yale-9063,1
Yale-9064,Yale-9064,1
Yale-9065,Yale-9065,1
Yale-9066,Yale-9066,1
Yale-9067,Yale-9067,1
Yale-9068,Yale-9068,1
Yale-9069,Yale-9069,1
Yale-9070,Yale-9070,1
Yale-9071,Yale-9071,1
Yale-9072,Yale-9072,1
Yale-9073,Yale-9073,1
Yale-9074,Yale-9074,1
Yale-9075,Yale-9075,1
Yale-9076,Yale-9076,1
Yale-9077,Yale-9077,1
Yale-9078,Yale-9078,1
Yale-9079,Yale-9079,1
Yale-9080,Yale-9080,1
Yale-9081,Yale-9081,1
Yale-9082,Yale-9082,1
Yale-9083,Yale-9083,1
Yale-9084,Yale-9084,1
Yale-9085,Yale-9085,1
Yale-9086,Yale-9086,1
Yale-9087,Yale-9087,1
Yale-9088,Yale-9088,1
Yale-9089,Yale-9089,1
Yale-9090,Yale-9090,1
Yale-9091,Yale-9091,1
Yale-9092,Yale-9092,1
Yale-9093,Yale-9093,1
Yale-9094,Yale-9094,1
Yale-9095,Yale-9095,1
Yale-9096,Yale-9096,1
Yale-9097,Yale-9097,1
Yale-9098,Yale-9098,1
Yale-9099,Yale-9099,1
Yale-9100,Yale-9100,1
Yale-9101,Yale-9101,1
Yale-9102,Yale-9102,1
Yale-9103,Yale-9103,1
Yale-9104,Yale-9104,1
Yale-9105,Yale-9105,1
Yale-9106,Yale-9106,1
Yale-9107,Yale-9107,1
Yale-9108,Yale-9108,1
Yale-9109,Yale-9109,1
Yale-9110,Yale-9110,1
